YEAR,MUNICIPALITY,MUNICIPALITY_CODE,POSTERIOR_MEAN_CASES,LOWER_CREDIBLE_CASES,UPPER_CREDIBLE_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,AUTOMATIC_OUTBREAK_ALERT_MONTHS,MAX_CRITICAL_BARANGAYS
2048,Polomolok,1206312000,673.144000,0.000000,2453.825000,0.317754,0.476000,101,0
2048,Santo Niño,1206318000,150.252000,0.000000,627.575000,0.184233,0.312000,0,0
2048,Surallah,1206313000,466.044000,0.000000,1718.825000,0.185922,0.312000,43,0
2048,T'Boli,1206316000,363.572000,0.000000,1498.175000,0.269560,0.376000,0,0
2048,Tampakan,1206314000,204.720000,0.000000,842.475000,0.187119,0.332000,0,0
2048,Tantangan,1206315000,50.888000,0.000000,317.300000,0.078513,0.224000,0,0
2048,Tupi,1206317000,215.424000,0.000000,892.475000,0.036511,0.176000,0,0
2049,Banga,1206302000,361.352000,0.000000,1464.950000,0.212470,0.372000,0,0
2049,City of Koronadal,1206306000,104.384000,0.000000,655.150000,0.062765,0.164000,0,0
2049,Lake Sebu,1206319000,256.056000,0.000000,1073.450000,0.264737,0.396000,0,0
2049,Norala,1206311000,199.080000,0.000000,824.925000,0.142667,0.216000,0,0
2049,Polomolok,1206312000,662.388000,0.000000,2445.075000,0.311536,0.448000,89,0
2049,Santo Niño,1206318000,150.096000,0.000000,625.150000,0.186000,0.316000,0,0
2049,Surallah,1206313000,468.228000,0.000000,1751.600000,0.188784,0.300000,66,0
2049,T'Boli,1206316000,365.412000,0.000000,1516.300000,0.272293,0.384000,0,0
2049,Tampakan,1206314000,203.512000,0.000000,849.925000,0.185762,0.356000,0,0
2049,Tantangan,1206315000,50.888000,0.000000,317.725000,0.076359,0.184000,0,0
2049,Tupi,1206317000,216.560000,0.000000,909.000000,0.037444,0.196000,0,0
2050,Banga,1206302000,357.996000,0.000000,1481.950000,0.206924,0.328000,0,0
2050,City of Koronadal,1206306000,104.408000,0.000000,655.025000,0.062272,0.176000,0,0
2050,Lake Sebu,1206319000,252.272000,0.000000,1067.000000,0.259667,0.388000,0,0
2050,Norala,1206311000,194.576000,0.000000,834.225000,0.138381,0.208000,0,0
2050,Polomolok,1206312000,660.132000,0.000000,2461.500000,0.308464,0.452000,85,0
2050,Santo Niño,1206318000,152.040000,0.000000,631.950000,0.189567,0.320000,0,0
2050,Surallah,1206313000,468.580000,0.000000,1753.925000,0.187843,0.284000,61,0
2050,T'Boli,1206316000,364.076000,0.000000,1531.500000,0.270987,0.376000,0,0
2050,Tampakan,1206314000,204.492000,0.000000,866.675000,0.184762,0.300000,0,0
2050,Tantangan,1206315000,53.224000,0.000000,337.075000,0.082103,0.192000,0,0
2050,Tupi,1206317000,216.000000,0.000000,917.475000,0.038578,0.184000,0,0
